date,year,month,week,daylight,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tmax_wkly,Tmin_wkly,Tavg_wkly,Depart_wkly,DewPoint_wkly,WetBulb_wkly,PrecipTotal_wkly,StnPressure_wkly,SeaLevel_wkly,ResultSpeed_wkly,ResultDir_wkly,AvgSpeed_wkly,Tmax_wkly_lag7,Tmin_wkly_lag7,Tavg_wkly_lag7,Depart_wkly_lag7,DewPoint_wkly_lag7,WetBulb_wkly_lag7,PrecipTotal_wkly_lag7,StnPressure_wkly_lag7,SeaLevel_wkly_lag7,ResultSpeed_wkly_lag7,ResultDir_wkly_lag7,AvgSpeed_wkly_lag7,Tmax_wkly_lag14,Tmin_wkly_lag14,Tavg_wkly_lag14,Depart_wkly_lag14,DewPoint_wkly_lag14,WetBulb_wkly_lag14,PrecipTotal_wkly_lag14,StnPressure_wkly_lag14,SeaLevel_wkly_lag14,ResultSpeed_wkly_lag14,ResultDir_wkly_lag14,AvgSpeed_wkly_lag14,Tmax_wkly_lag21,Tmin_wkly_lag21,Tavg_wkly_lag21,Depart_wkly_lag21,DewPoint_wkly_lag21,WetBulb_wkly_lag21,PrecipTotal_wkly_lag21,StnPressure_wkly_lag21,SeaLevel_wkly_lag21,ResultSpeed_wkly_lag21,ResultDir_wkly_lag21,AvgSpeed_wkly_lag21,Station
2007-05-19,2007,5,20,0 days 14:40:00.000000000,80,56,68,8,39,53,0.0,29.34,30.08,11.1,24,11.4,74.0,48.714285714285715,61.57142857142857,2.7142857142857144,40.0,50.857142857142854,0.07428571428571429,29.371428571428577,30.09714285714286,9.485714285714286,21.428571428571427,11.44285714285714,75.42857142857143,52.0,63.857142857142854,7.857142857142857,45.42857142857143,54.57142857142857,0.018571428571428572,29.352857142857143,30.077142857142853,7.714285714285714,10.285714285714286,9.628571428571428,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-20,2007,5,20,0 days 14:42:00.000000000,69,43,56,-5,40,44,0.07,29.38,30.11,10.4,4,10.7,74.0,48.714285714285715,61.57142857142857,2.2857142857142856,41.0,50.57142857142857,0.0842857142857143,29.355714285714292,30.07857142857143,10.02857142857143,20.0,11.814285714285713,75.57142857142857,51.142857142857146,63.42857142857143,7.0,45.857142857142854,54.57142857142857,0.018571428571428572,29.341428571428573,30.069999999999997,6.6000000000000005,10.714285714285714,8.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-05-21,2007,5,21,0 days 14:44:00.000000000,80,44,62,1,50,56,0.0,29.33,30.06,6.3,11,8.2,72.57142857142857,47.0,60.0,0.2857142857142857,41.42857142857143,50.142857142857146,0.0842857142857143,29.370000000000008,30.091428571428573,8.514285714285716,18.571428571428573,10.514285714285714,76.57142857142857,52.42857142857143,64.57142857142857,7.714285714285714,46.714285714285715,55.285714285714285,0.018571428571428572,29.32,30.048571428571424,7.785714285714286,11.142857142857142,9.614285714285712,70.14285714285714,48.0,59.42857142857143,5.142857142857143,40.42857142857143,50.0,0.0,29.361428571428572,30.084285714285716,10.214285714285714,11.714285714285714,11.828571428571427,,,,,,,,,,,,,1
2007-05-22,2007,5,21,0 days 14:46:00.000000000,87,55,71,10,46,58,0.0,29.34,30.06,10.0,18,10.2,73.57142857142857,46.714285714285715,60.285714285714285,0.14285714285714285,40.0,49.714285714285715,0.03000000000000001,29.40000000000001,30.122857142857146,8.785714285714288,17.285714285714285,10.214285714285714,76.28571428571429,52.857142857142854,64.71428571428571,7.571428571428571,46.42857142857143,55.142857142857146,0.07285714285714286,29.29714285714286,30.02142857142857,8.557142857142857,13.428571428571429,10.542857142857141,70.0,48.57142857142857,59.57142857142857,4.857142857142857,41.42857142857143,50.857142857142854,0.0,29.388571428571428,30.114285714285717,10.357142857142858,9.428571428571429,11.342857142857142,,,,,,,,,,,,,1
2007-05-23,2007,5,21,0 days 14:47:00.000000000,89,60,75,14,49,61,0.0,29.39,30.1,11.4,19,11.8,76.85714285714286,49.0,63.142857142857146,2.7142857142857144,40.857142857142854,51.57142857142857,0.010000000000000009,29.408571428571438,30.132857142857144,9.300000000000002,14.857142857142858,10.157142857142857,74.71428571428571,50.42857142857143,62.714285714285715,5.142857142857143,44.142857142857146,53.0,0.07428571428571429,29.314285714285717,30.034285714285712,9.114285714285716,17.285714285714285,11.399999999999997,72.57142857142857,51.285714285714285,62.142857142857146,7.142857142857143,43.857142857142854,53.142857142857146,0.018571428571428572,29.364285714285717,30.092857142857145,9.057142857142859,10.142857142857142,10.314285714285713,,,,,,,,,,,,,1
2007-05-24,2007,5,21,0 days 14:49:00.000000000,88,63,76,14,54,63,0.02,29.41,30.11,14.9,21,17.3,80.57142857142857,51.857142857142854,66.42857142857143,5.571428571428571,44.0,54.42857142857143,0.012857142857142867,29.388571428571435,30.110000000000003,9.928571428571432,17.428571428571427,11.014285714285714,71.57142857142857,48.57142857142857,60.285714285714285,2.2857142857142856,41.285714285714285,50.57142857142857,0.07428571428571429,29.36428571428572,30.08428571428571,10.514285714285716,15.285714285714286,12.428571428571427,75.14285714285714,52.714285714285715,64.14285714285714,8.857142857142858,45.57142857142857,54.857142857142854,0.018571428571428572,29.337142857142858,30.064285714285713,7.485714285714287,11.571428571428571,9.199999999999998,,,,,,,,,,,,,1
2007-05-25,2007,5,21,0 days 14:51:00.000000000,70,56,63,1,44,53,0.0,29.51,30.24,4.9,5,8.8,80.42857142857143,53.857142857142854,67.28571428571429,6.142857142857143,46.0,55.42857142857143,0.012857142857142867,29.385714285714293,30.10857142857143,9.857142857142861,14.571428571428571,11.2,71.71428571428571,47.285714285714285,59.714285714285715,1.2857142857142858,39.57142857142857,49.857142857142854,0.07428571428571429,29.39285714285715,30.11428571428571,9.671428571428574,18.428571428571427,11.657142857142855,75.71428571428571,53.0,64.57142857142857,8.857142857142858,45.714285714285715,55.0,0.018571428571428572,29.34,30.062857142857137,7.614285714285715,10.857142857142858,9.499999999999998,,,,,,,,,,,,,1
2007-05-26,2007,5,21,0 days 14:53:00.000000000,65,49,57,-5,55,56,1.01,29.36,30.11,2.8,17,7.2,78.28571428571429,52.857142857142854,65.71428571428571,4.285714285714286,48.285714285714285,55.857142857142854,0.15714285714285717,29.388571428571435,30.112857142857145,8.671428571428574,13.571428571428571,10.599999999999998,74.0,48.714285714285715,61.57142857142857,2.7142857142857144,40.0,50.857142857142854,0.07428571428571429,29.371428571428577,30.09714285714286,9.485714285714286,21.428571428571427,11.44285714285714,75.42857142857143,52.0,63.857142857142854,7.857142857142857,45.42857142857143,54.57142857142857,0.018571428571428572,29.352857142857143,30.077142857142853,7.714285714285714,10.285714285714286,9.628571428571428,,,,,,,,,,,,,1
2007-05-27,2007,5,21,0 days 14:54:00.000000000,75,57,66,4,47,56,0.04,29.34,30.06,8.9,26,9.5,79.14285714285714,54.857142857142854,67.14285714285714,5.571428571428571,49.285714285714285,57.57142857142857,0.15285714285714286,29.38285714285715,30.10571428571429,8.45714285714286,16.714285714285715,10.428571428571427,74.0,48.714285714285715,61.57142857142857,2.2857142857142856,41.0,50.57142857142857,0.0842857142857143,29.355714285714292,30.07857142857143,10.02857142857143,20.0,11.814285714285713,75.57142857142857,51.142857142857146,63.42857142857143,7.0,45.857142857142854,54.57142857142857,0.018571428571428572,29.341428571428573,30.069999999999997,6.6000000000000005,10.714285714285714,8.64285714285714,,,,,,,,,,,,,1
2007-05-28,2007,5,22,0 days 14:55:00.000000000,79,50,65,2,47,56,0.0,29.43,30.15,4.8,10,5.3,79.0,55.714285714285715,67.57142857142857,5.714285714285714,48.857142857142854,57.57142857142857,0.15285714285714286,29.39714285714287,30.118571428571432,8.242857142857147,16.571428571428573,10.01428571428571,72.57142857142857,47.0,60.0,0.2857142857142857,41.42857142857143,50.142857142857146,0.0842857142857143,29.370000000000008,30.091428571428573,8.514285714285716,18.571428571428573,10.514285714285714,76.57142857142857,52.42857142857143,64.57142857142857,7.714285714285714,46.714285714285715,55.285714285714285,0.018571428571428572,29.32,30.048571428571424,7.785714285714286,11.142857142857142,9.614285714285712,70.14285714285714,48.0,59.42857142857143,5.142857142857143,40.42857142857143,50.0,0.0,29.361428571428572,30.084285714285716,10.214285714285714,11.714285714285714,11.828571428571427,1
2007-05-29,2007,5,22,0 days 14:56:00.000000000,88,60,74,10,58,65,0.0,29.39,30.11,5.8,18,6.5,79.14285714285714,56.42857142857143,68.0,5.714285714285714,50.57142857142857,58.57142857142857,0.15285714285714286,29.404285714285724,30.125714285714285,7.642857142857147,16.571428571428573,9.485714285714282,73.57142857142857,46.714285714285715,60.285714285714285,0.14285714285714285,40.0,49.714285714285715,0.03000000000000001,29.40000000000001,30.122857142857146,8.785714285714288,17.285714285714285,10.214285714285714,76.28571428571429,52.857142857142854,64.71428571428571,7.571428571428571,46.42857142857143,55.142857142857146,0.07285714285714286,29.29714285714286,30.02142857142857,8.557142857142857,13.428571428571429,10.542857142857141,70.0,48.57142857142857,59.57142857142857,4.857142857142857,41.42857142857143,50.857142857142854,0.0,29.388571428571428,30.114285714285717,10.357142857142858,9.428571428571429,11.342857142857142,1
2007-05-30,2007,5,22,0 days 14:58:00.000000000,87,66,77,13,58,65,0.0,29.31,30.04,10.3,19,10.6,78.85714285714286,57.285714285714285,68.28571428571429,5.571428571428571,51.857142857142854,59.142857142857146,0.15285714285714286,29.39285714285715,30.117142857142856,7.485714285714289,16.571428571428573,9.314285714285711,76.85714285714286,49.0,63.142857142857146,2.7142857142857144,40.857142857142854,51.57142857142857,0.010000000000000009,29.408571428571438,30.132857142857144,9.300000000000002,14.857142857142858,10.157142857142857,74.71428571428571,50.42857142857143,62.714285714285715,5.142857142857143,44.142857142857146,53.0,0.07428571428571429,29.314285714285717,30.034285714285712,9.114285714285716,17.285714285714285,11.399999999999997,72.57142857142857,51.285714285714285,62.142857142857146,7.142857142857143,43.857142857142854,53.142857142857146,0.018571428571428572,29.364285714285717,30.092857142857145,9.057142857142859,10.142857142857142,10.314285714285713,1
2007-05-31,2007,5,22,0 days 14:59:00.000000000,78,65,72,8,61,65,0.01,29.28,30.0,9.3,19,9.9,77.42857142857143,57.57142857142857,67.71428571428571,4.714285714285714,52.857142857142854,59.42857142857143,0.15142857142857144,29.374285714285723,30.101428571428567,6.68571428571429,16.285714285714285,8.257142857142854,80.57142857142857,51.857142857142854,66.42857142857143,5.571428571428571,44.0,54.42857142857143,0.012857142857142867,29.388571428571435,30.110000000000003,9.928571428571432,17.428571428571427,11.014285714285714,71.57142857142857,48.57142857142857,60.285714285714285,2.2857142857142856,41.285714285714285,50.57142857142857,0.07428571428571429,29.36428571428572,30.08428571428571,10.514285714285716,15.285714285714286,12.428571428571427,75.14285714285714,52.714285714285715,64.14285714285714,8.857142857142858,45.57142857142857,54.857142857142854,0.018571428571428572,29.337142857142858,30.064285714285713,7.485714285714287,11.571428571428571,9.199999999999998,1
2007-06-01,2007,6,22,0 days 15:01:00.000000000,85,62,74,10,63,66,0.19,29.19,29.91,4.2,17,6.4,79.57142857142857,58.42857142857143,69.28571428571429,6.0,55.57142857142857,61.285714285714285,0.17857142857142858,29.32857142857144,30.054285714285708,6.585714285714291,18.0,7.914285714285713,80.42857142857143,53.857142857142854,67.28571428571429,6.142857142857143,46.0,55.42857142857143,0.012857142857142867,29.385714285714293,30.10857142857143,9.857142857142861,14.571428571428571,11.2,71.71428571428571,47.285714285714285,59.714285714285715,1.2857142857142858,39.57142857142857,49.857142857142854,0.07428571428571429,29.39285714285715,30.11428571428571,9.671428571428574,18.428571428571427,11.657142857142855,75.71428571428571,53.0,64.57142857142857,8.857142857142858,45.714285714285715,55.0,0.018571428571428572,29.34,30.062857142857137,7.614285714285715,10.857142857142858,9.499999999999998,1
2007-06-02,2007,6,22,0 days 15:01:00.000000000,81,65,73,9,63,67,0.04,29.03,29.77,6.5,22,7.4,81.85714285714286,60.714285714285715,71.57142857142857,8.0,56.714285714285715,62.857142857142854,0.04,29.281428571428584,30.00571428571428,7.11428571428572,18.714285714285715,7.942857142857141,78.28571428571429,52.857142857142854,65.71428571428571,4.285714285714286,48.285714285714285,55.857142857142854,0.15714285714285717,29.388571428571435,30.112857142857145,8.671428571428574,13.571428571428571,10.599999999999998,74.0,48.714285714285715,61.57142857142857,2.7142857142857144,40.0,50.857142857142854,0.07428571428571429,29.371428571428577,30.09714285714286,9.485714285714286,21.428571428571427,11.44285714285714,75.42857142857143,52.0,63.857142857142854,7.857142857142857,45.42857142857143,54.57142857142857,0.018571428571428572,29.352857142857143,30.077142857142853,7.714285714285714,10.285714285714286,9.628571428571428,1
2007-06-03,2007,6,22,0 days 15:03:00.000000000,78,62,70,6,60,63,0.01,28.82,29.56,5.2,25,6.7,82.28571428571429,61.42857142857143,72.14285714285714,8.285714285714286,58.57142857142857,63.857142857142854,0.03571428571428572,29.207142857142866,29.93428571428571,6.585714285714292,18.571428571428573,7.542857142857142,79.14285714285714,54.857142857142854,67.14285714285714,5.571428571428571,49.285714285714285,57.57142857142857,0.15285714285714286,29.38285714285715,30.10571428571429,8.45714285714286,16.714285714285715,10.428571428571427,74.0,48.714285714285715,61.57142857142857,2.2857142857142856,41.0,50.57142857142857,0.0842857142857143,29.355714285714292,30.07857142857143,10.02857142857143,20.0,11.814285714285713,75.57142857142857,51.142857142857146,63.42857142857143,7.0,45.857142857142854,54.57142857142857,0.018571428571428572,29.341428571428573,30.069999999999997,6.6000000000000005,10.714285714285714,8.64285714285714,1
2007-06-04,2007,6,23,0 days 15:04:00.000000000,71,58,65,1,58,60,0.39,28.82,29.52,7.8,31,9.7,81.14285714285714,62.57142857142857,72.14285714285714,8.142857142857142,60.142857142857146,64.42857142857143,0.09142857142857144,29.120000000000008,29.84428571428571,7.0142857142857205,21.571428571428573,8.171428571428569,79.0,55.714285714285715,67.57142857142857,5.714285714285714,48.857142857142854,57.57142857142857,0.15285714285714286,29.39714285714287,30.118571428571432,8.242857142857147,16.571428571428573,10.01428571428571,72.57142857142857,47.0,60.0,0.2857142857142857,41.42857142857143,50.142857142857146,0.0842857142857143,29.370000000000008,30.091428571428573,8.514285714285716,18.571428571428573,10.514285714285714,76.57142857142857,52.42857142857143,64.57142857142857,7.714285714285714,46.714285714285715,55.285714285714285,0.018571428571428572,29.32,30.048571428571424,7.785714285714286,11.142857142857142,9.614285714285712,1
2007-06-05,2007,6,23,0 days 15:06:00.000000000,64,47,56,-9,48,51,0.42,29.1,29.79,5.2,5,7.6,77.71428571428571,60.714285714285715,69.57142857142857,5.428571428571429,58.714285714285715,62.42857142857143,0.15142857142857144,29.07857142857144,29.798571428571424,6.928571428571436,19.714285714285715,8.328571428571426,79.14285714285714,56.42857142857143,68.0,5.714285714285714,50.57142857142857,58.57142857142857,0.15285714285714286,29.404285714285724,30.125714285714285,7.642857142857147,16.571428571428573,9.485714285714282,73.57142857142857,46.714285714285715,60.285714285714285,0.14285714285714285,40.0,49.714285714285715,0.03000000000000001,29.40000000000001,30.122857142857146,8.785714285714288,17.285714285714285,10.214285714285714,76.28571428571429,52.857142857142854,64.71428571428571,7.571428571428571,46.42857142857143,55.142857142857146,0.07285714285714286,29.29714285714286,30.02142857142857,8.557142857142857,13.428571428571429,10.542857142857141,1
2007-06-06,2007,6,23,0 days 15:06:00.000000000,71,44,58,-8,48,55,0.01,29.07,29.81,10.8,17,11.4,75.42857142857143,57.57142857142857,66.85714285714286,2.4285714285714284,57.285714285714285,61.0,0.15285714285714286,29.044285714285724,29.765714285714285,7.000000000000008,19.428571428571427,8.442857142857141,78.85714285714286,57.285714285714285,68.28571428571429,5.571428571428571,51.857142857142854,59.142857142857146,0.15285714285714286,29.39285714285715,30.117142857142856,7.485714285714289,16.571428571428573,9.314285714285711,76.85714285714286,49.0,63.142857142857146,2.7142857142857144,40.857142857142854,51.57142857142857,0.010000000000000009,29.408571428571438,30.132857142857144,9.300000000000002,14.857142857142858,10.157142857142857,74.71428571428571,50.42857142857143,62.714285714285715,5.142857142857143,44.142857142857146,53.0,0.07428571428571429,29.314285714285717,30.034285714285712,9.114285714285716,17.285714285714285,11.399999999999997,1
2007-06-07,2007,6,23,0 days 15:07:00.000000000,91,71,81,15,62,69,0.0,28.84,29.55,22.7,20,23.1,77.28571428571429,58.42857142857143,68.14285714285714,3.4285714285714284,57.42857142857143,61.57142857142857,0.15142857142857144,28.98142857142858,29.701428571428572,8.914285714285723,19.571428571428573,10.328571428571426,77.42857142857143,57.57142857142857,67.71428571428571,4.714285714285714,52.857142857142854,59.42857142857143,0.15142857142857144,29.374285714285723,30.101428571428567,6.68571428571429,16.285714285714285,8.257142857142854,80.57142857142857,51.857142857142854,66.42857142857143,5.571428571428571,44.0,54.42857142857143,0.012857142857142867,29.388571428571435,30.110000000000003,9.928571428571432,17.428571428571427,11.014285714285714,71.57142857142857,48.57142857142857,60.285714285714285,2.2857142857142856,41.285714285714285,50.57142857142857,0.07428571428571429,29.36428571428572,30.08428571428571,10.514285714285716,15.285714285714286,12.428571428571427,1
2007-06-08,2007,6,23,0 days 15:08:00.000000000,81,57,69,3,53,61,0.0,29.18,29.85,10.9,28,13.8,76.71428571428571,57.714285714285715,67.42857142857143,2.4285714285714284,56.0,60.857142857142854,0.1242857142857143,28.98000000000001,29.692857142857143,9.87142857142858,21.142857142857142,11.385714285714283,79.57142857142857,58.42857142857143,69.28571428571429,6.0,55.57142857142857,61.285714285714285,0.17857142857142858,29.32857142857144,30.054285714285708,6.585714285714291,18.0,7.914285714285713,80.42857142857143,53.857142857142854,67.28571428571429,6.142857142857143,46.0,55.42857142857143,0.012857142857142867,29.385714285714293,30.10857142857143,9.857142857142861,14.571428571428571,11.2,71.71428571428571,47.285714285714285,59.714285714285715,1.2857142857142858,39.57142857142857,49.857142857142854,0.07428571428571429,29.39285714285715,30.11428571428571,9.671428571428574,18.428571428571427,11.657142857142855,1
2007-06-09,2007,6,23,0 days 15:09:00.000000000,79,52,66,0,47,57,0.0,29.36,30.07,0.3,33,5.0,76.42857142857143,55.857142857142854,66.42857142857143,1.1428571428571428,53.714285714285715,59.42857142857143,0.11857142857142858,29.02714285714287,29.735714285714284,8.985714285714295,22.714285714285715,11.04285714285714,81.85714285714286,60.714285714285715,71.57142857142857,8.0,56.714285714285715,62.857142857142854,0.04,29.281428571428584,30.00571428571428,7.11428571428572,18.714285714285715,7.942857142857141,78.28571428571429,52.857142857142854,65.71428571428571,4.285714285714286,48.285714285714285,55.857142857142854,0.15714285714285717,29.388571428571435,30.112857142857145,8.671428571428574,13.571428571428571,10.599999999999998,74.0,48.714285714285715,61.57142857142857,2.7142857142857144,40.0,50.857142857142854,0.07428571428571429,29.371428571428577,30.09714285714286,9.485714285714286,21.428571428571427,11.44285714285714,1
2007-06-10,2007,6,23,0 days 15:10:00.000000000,81,55,68,1,51,59,0.0,29.34,30.05,4.8,17,5.6,76.85714285714286,54.857142857142854,66.14285714285714,0.42857142857142855,52.42857142857143,58.857142857142854,0.11714285714285715,29.101428571428585,29.805714285714284,8.928571428571436,21.571428571428573,10.88571428571428,82.28571428571429,61.42857142857143,72.14285714285714,8.285714285714286,58.57142857142857,63.857142857142854,0.03571428571428572,29.207142857142866,29.93428571428571,6.585714285714292,18.571428571428573,7.542857142857142,79.14285714285714,54.857142857142854,67.14285714285714,5.571428571428571,49.285714285714285,57.57142857142857,0.15285714285714286,29.38285714285715,30.10571428571429,8.45714285714286,16.714285714285715,10.428571428571427,74.0,48.714285714285715,61.57142857142857,2.2857142857142856,41.0,50.57142857142857,0.0842857142857143,29.355714285714292,30.07857142857143,10.02857142857143,20.0,11.814285714285713,1
